Name,SMILES
95,OCC[C@](O)(C)CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
96,CC(C)c1cnc(c(=O)n1[O-])C(C)C
97,CC(C)c1ncc(n([O-])c1=O)[C@H](C)CC
98,c1ccc(O)c(O)c1C(=O)N[C@H](C([O-])=O)CCCCNC(=O)c2c(O)c(O)ccc2
99,c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@H]2[C@@H](C)OC(=O)[C@@H](NC(=O)CNC(=O)c3c(O)c(O)ccc3)[C@@H](C)OC(=O)[C@H]([C@@H](C)OC2=O)NC(=O)CNC(=O)c4c(O)c(O)ccc4
100,c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@@H]([C@H](O)C)C(=O)O[C@H](C)[C@H](NC(=O)CNC(=O)c2c(O)c(O)ccc2)C(=O)O[C@@H](C)[C@@H](C([O-])=O)NC(=O)CNC(=O)c3c(O)c(O)ccc3
101,c1ccc(O)c(O)c1C(=O)NCC(=O)N[C@H](C([O-])=O)[C@@H](C)OC(=O)[C@H]([C@H](O)C)NC(=O)CNC(=O)c2c(O)c(O)ccc2
102,[O-]C(=O)C/C(C)=C\C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CCCN(O)C(=O)/C=C(C)\CC([O-])=O)NC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)\CC([O-])=O
103,NC(=[NH2+])NCCC[C@@H](C(=O)N[C@@H]([C@H](O)C)C(=O)OC)NC(=O)c1c(O)c(O)ccc1
104,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
105,[O-]n1c(C)c(OC)ccc1=O
106,OC[C@@H](C([O-])=O)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c1c(O)c(O)ccc1
107,[O-]C(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(/C)CCO
108,[O-]C(=O)CC(O)(C([O-])=O)CC([O-])=O
109,O=CN(O)CCC[C@@H]([NH3+])C(=O)N[C@H]([C@H](O)C)C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H]([NH3+])CCCN(O)C=O
110,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H](NC(=O)C)CCCN(O)C(=O)/C=C(C)\CCO
111,OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)/CCO
112,CCCCCCCC(=O)N[C@H]([C@@H](O)c1c[nH]cn1)C2=[NH+]CC[C@H](N2)C(=O)N[C@@H](CC[NH3+])C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H]([C@@H](C(=O)[O-])O)C3=[NH+]CC[C@H](N3)C(=O)N[C@@H](C(=O)C)[C@@H](C(=O)[O-])O
113,[O-]C(=O)C[C@@](C([O-])=O)(O)CC(=O)N[C@H](C(=O)[O-])CCCCNC(=O)C[C@@](C(=O)[O-])(O)CC([O-])=O
114,CCCCCCCCCC(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)N[C@@H](CC[NH3+])C(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)NCC(=O)N[C@H](C([O-])=O)CCCN(O)C(=O)C[C@@H](O)C
115,ON1CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H]([NH3+])C(=O)OCC/C(C)=C\C1=O
116,Oc1cccc(c1O)C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H]2C(=O)OC[C@H](NC(=O)[C@@H](CCCC[NH3+])NC(=O)c3cccc(O)c3O)C(=O)OC[C@@H](C(=O)OC2)NC(=O)[C@@H](CCCC[NH3+])NC(=O)c4cccc(O)c4O
117,CC(=O)NCCCNC(=O)C[C@@](C([O-])=O)(O)CC(=O)NCCCN(O)C(=O)C
118,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CCCN(O)C(=O)/C=C(C)\CCO)NC(=O)[C@@H]([NH3+])CCCN(O)C(=O)/C=C(C)\CCO
119,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCC[NH3+]
120,O=C(C)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
121,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
122,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
123,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
124,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
125,[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
126,[O-]C(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
127,[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
128,[O-]C(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCC[NH3+]
129,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)[O-]
130,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1
131,ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O
132,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCN1
